Modelo,RMSE_media,RMSE_std,RMSE_p2.5,RMSE_p97.5,MAE_media,MAE_std,MAE_p2.5,MAE_p97.5,R2_media,R2_std,R2_p2.5,R2_p97.5
RF_simple,0.16326241032398225,0.00891707335557199,0.1502283799715136,0.18585961569139975,0.0911523599838265,0.0012231592221087955,0.08872382768635106,0.09351375874514148,0.9428079261292099,0.00533453773005676,0.9301945518755581,0.949865790051853
RF_opt,0.1664453950395651,0.00845745724924377,0.15329074581049987,0.18776443364636275,0.09413029275261384,0.0012226907402002171,0.09168757201568299,0.0964327291197836,0.940576298492341,0.004997403372315126,0.9279748063443559,0.94744323516651
XGB_opt,0.197107985274924,0.008794948293921582,0.1848651288773758,0.22055923333305966,0.13738510800365478,0.0013416623379005072,0.13455491576467463,0.1399650871998259,0.9166842638629492,0.006140299338190928,0.9013890597311565,0.9258607944671646
Stacking,0.16533809505112892,0.009906610797342546,0.15222246764476777,0.1893005825881217,0.1028972717543833,0.001974869348750815,0.10016439720072337,0.10677028618562599,0.9413729326875513,0.0062139005727493745,0.9272937906349461,0.9492572383748434
